111theta,111intensity,200theta,200intensity,220theta,220intensity,311theta,311intensity,222theta,222intensity,400theta,400intensity
18.48,81,21.5,78,31.5,119,37,101,50,110,51.76,120
18.49,71,21.51,80,31.51,120,37.01,76,50.01,119,51.77,101
18.5,76,21.52,97,31.52,134,37.02,103,50.02,95,51.78,101
18.51,67,21.53,85,31.53,125,37.03,100,50.03,108,51.79,98
18.52,93,21.54,86,31.54,126,37.04,75,50.04,88,51.8,89
18.53,80,21.55,99,31.55,134,37.05,91,50.05,103,51.81,100
18.54,71,21.56,88,31.56,118,37.06,120,50.06,93,51.82,102
18.55,81,21.57,73,31.57,101,37.07,102,50.07,93,51.83,110
18.56,75,21.58,79,31.58,137,37.08,90,50.08,82,51.84,106
18.57,79,21.59,84,31.59,108,37.09,94,50.09,112,51.85,119
18.58,84,21.6,94,31.6,136,37.1,88,50.1,98,51.86,112
18.59,73,21.61,74,31.61,125,37.11,113,50.11,128,51.87,112
18.6,71,21.62,74,31.62,113,37.12,82,50.12,89,51.88,119
18.61,80,21.63,83,31.63,129,37.13,78,50.13,102,51.89,102
18.62,74,21.64,90,31.64,119,37.14,89,50.14,103,51.9,114
18.63,85,21.65,75,31.65,121,37.15,95,50.15,96,51.91,112
18.64,74,21.66,76,31.66,128,37.16,108,50.16,85,51.92,124
18.65,77,21.67,86,31.67,129,37.17,102,50.17,106,51.93,84
18.66,79,21.68,85,31.68,128,37.18,122,50.18,105,51.94,120
18.67,84,21.69,88,31.69,109,37.19,118,50.19,101,51.95,101
18.68,73,21.7,85,31.7,124,37.2,95,50.2,98,51.96,100
18.69,71,21.71,94,31.71,121,37.21,94,50.21,127,51.97,103
18.7,85,21.72,80,31.72,104,37.22,101,50.22,112,51.98,105
18.71,82,21.73,89,31.73,97,37.23,105,50.23,105,51.99,100
18.72,73,21.74,98,31.74,116,37.24,113,50.24,105,52,106
18.73,81,21.75,86,31.75,138,37.25,103,50.25,123,52.01,102
18.74,64,21.76,96,31.76,147,37.26,101,50.26,116,52.02,109
18.75,60,21.77,83,31.77,117,37.27,120,50.27,100,52.03,117
18.76,88,21.78,82,31.78,116,37.28,93,50.28,93,52.04,109
18.77,76,21.79,85,31.79,118,37.29,97,50.29,98,52.05,124
18.78,80,21.8,76,31.8,133,37.3,100,50.3,124,52.06,111
18.79,75,21.81,70,31.81,128,37.31,78,50.31,105,52.07,107
18.8,68,21.82,72,31.82,126,37.32,92,50.32,91,52.08,105
18.81,68,21.83,77,31.83,139,37.33,98,50.33,98,52.09,117
18.82,68,21.84,78,31.84,145,37.34,99,50.34,94,52.1,116
18.83,73,21.85,82,31.85,154,37.35,95,50.35,117,52.11,124
18.84,84,21.86,72,31.86,119,37.36,90,50.36,116,52.12,124
18.85,64,21.87,86,31.87,110,37.37,104,50.37,115,52.13,116
18.86,79,21.88,85,31.88,119,37.38,116,50.38,113,52.14,119
18.87,71,21.89,89,31.89,110,37.39,103,50.39,98,52.15,127
18.88,69,21.9,108,31.9,112,37.4,94,50.4,104,52.16,127
18.89,86,21.91,82,31.91,138,37.41,106,50.41,98,52.17,129
18.9,79,21.92,82,31.92,114,37.42,97,50.42,97,52.18,138
18.91,69,21.93,92,31.93,128,37.43,87,50.43,92,52.19,141
18.92,67,21.94,89,31.94,124,37.44,79,50.44,110,52.2,124
18.93,89,21.95,80,31.95,131,37.45,100,50.45,103,52.21,142
18.94,75,21.96,72,31.96,129,37.46,106,50.46,101,52.22,150
18.95,85,21.97,85,31.97,145,37.47,91,50.47,103,52.23,163
18.96,70,21.98,79,31.98,108,37.48,93,50.48,118,52.24,157
18.97,69,21.99,88,31.99,143,37.49,85,50.49,103,52.25,202
18.98,76,22,87,32,154,37.5,90,50.5,94,52.26,215
18.99,79,22.01,84,32.01,133,37.51,98,50.51,99,52.27,277
19,79,22.02,83,32.02,119,37.52,104,50.52,119,52.28,286
19.01,76,22.03,95,32.03,124,37.53,98,50.53,113,52.29,322
19.02,87,22.04,80,32.04,126,37.54,89,50.54,102,52.3,379
19.03,71,22.05,88,32.05,122,37.55,98,50.55,101,52.31,407
19.04,80,22.06,93,32.06,136,37.56,86,50.56,102,52.32,411
19.05,86,22.07,102,32.07,131,37.57,100,50.57,115,52.33,451
19.06,75,22.08,95,32.08,123,37.58,90,50.58,110,52.34,444
19.07,73,22.09,98,32.09,149,37.59,96,50.59,119,52.35,396
19.08,81,22.1,98,32.1,130,37.6,91,50.6,117,52.36,347
19.09,81,22.11,86,32.11,136,37.61,91,50.61,108,52.37,315
19.1,81,22.12,84,32.12,124,37.62,81,50.62,103,52.38,254
19.11,84,22.13,88,32.13,136,37.63,96,50.63,102,52.39,218
19.12,80,22.14,96,32.14,144,37.64,83,50.64,121,52.4,194
19.13,84,22.15,96,32.15,144,37.65,101,50.65,123,52.41,179
19.14,82,22.16,97,32.16,149,37.66,101,50.66,113,52.42,155
19.15,99,22.17,73,32.17,157,37.67,109,50.67,114,52.43,147
19.16,91,22.18,85,32.18,156,37.68,101,50.68,107,52.44,136
19.17,98,22.19,93,32.19,162,37.69,101,50.69,129,52.45,135
19.18,84,22.2,104,32.2,163,37.7,106,50.7,108,52.46,105
19.19,70,22.21,89,32.21,171,37.71,98,50.71,119,52.47,141
19.2,78,22.22,80,32.22,165,37.72,102,50.72,94,52.48,118
19.21,83,22.23,78,32.23,207,37.73,103,50.73,114,52.49,111
19.22,81,22.24,97,32.24,237,37.74,79,50.74,121,52.5,119
19.23,81,22.25,84,32.25,250,37.75,84,50.75,130,52.51,112
19.24,79,22.26,101,32.26,298,37.76,106,50.76,114,52.52,128
19.25,99,22.27,96,32.27,343,37.77,90,50.77,121,52.53,111
19.26,92,22.28,84,32.28,413,37.78,86,50.78,123,52.54,117
19.27,85,22.29,90,32.29,444,37.79,106,50.79,146,52.55,125
19.28,85,22.3,87,32.3,532,37.8,102,50.8,124,52.56,111
19.29,76,22.31,87,32.31,668,37.81,106,50.81,138,52.57,141
19.3,92,22.32,76,32.32,790,37.82,101,50.82,167,52.58,132
19.31,90,22.33,82,32.33,978,37.83,125,50.83,197,52.59,142
19.32,63,22.34,77,32.34,1274,37.84,95,50.84,200,52.6,164
19.33,79,22.35,83,32.35,1554,37.85,101,50.85,226,52.61,180
19.34,77,22.36,98,32.36,1988,37.86,107,50.86,237,52.62,198
19.35,84,22.37,86,32.37,2300,37.87,94,50.87,321,52.63,224
19.36,105,22.38,102,32.38,2550,37.88,120,50.88,371,52.64,256
19.37,73,22.39,101,32.39,2387,37.89,112,50.89,418,52.65,270
19.38,84,22.4,92,32.4,1925,37.9,111,50.9,458,52.66,287
19.39,97,22.41,82,32.41,1321,37.91,120,50.91,454,52.67,288
19.4,92,22.42,95,32.42,982,37.92,110,50.92,428,52.68,290
19.41,99,22.43,94,32.43,669,37.93,107,50.93,402,52.69,223
19.42,86,22.44,97,32.44,515,37.94,96,50.94,340,52.7,204
19.43,87,22.45,84,32.45,414,37.95,95,50.95,297,52.71,214
19.44,109,22.46,99,32.46,387,37.96,101,50.96,242,52.72,189
19.45,112,22.47,89,32.47,384,37.97,117,50.97,222,52.73,178
19.46,95,22.48,91,32.48,362,37.98,134,50.98,191,52.74,152
19.47,108,22.49,95,32.49,344,37.99,111,50.99,185,52.75,132
19.48,103,22.5,100,32.5,393,38,109,51,148,52.76,116
19.49,117,22.51,103,32.51,452,38.01,132,51.01,156,52.77,106
19.5,100,22.52,91,32.52,563,38.02,165,51.02,127,52.78,117
19.51,109,22.53,105,32.53,617,38.03,162,51.03,125,52.79,107
19.52,125,22.54,101,32.54,751,38.04,149,51.04,124,52.8,118
19.53,123,22.55,96,32.55,904,38.05,191,51.05,146,52.81,98
19.54,151,22.56,103,32.56,1118,38.06,179,51.06,139,52.82,115
19.55,143,22.57,102,32.57,1250,38.07,227,51.07,128,52.83,110
19.56,136,22.58,124,32.58,1350,38.08,280,51.08,136,52.84,114
19.57,136,22.59,111,32.59,1246,38.09,299,51.09,124,52.85,112
19.58,136,22.6,96,32.6,1073,38.1,333,51.1,131,52.86,115
19.59,139,22.61,123,32.61,782,38.11,403,51.11,110,52.87,126
19.6,171,22.62,120,32.62,578,38.12,536,51.12,126,52.88,100
19.61,168,22.63,141,32.63,422,38.13,666,51.13,123,52.89,90
19.62,199,22.64,135,32.64,338,38.14,814,51.14,137,52.9,98
19.63,227,22.65,151,32.65,269,38.15,968,51.15,147,52.91,94
19.64,312,22.66,138,32.66,243,38.16,1046,51.16,141,52.92,89
19.65,420,22.67,147,32.67,208,38.17,1103,51.17,152,52.93,101
19.66,460,22.68,176,32.68,183,38.18,1058,51.18,192,52.94,113
19.67,405,22.69,194,32.69,162,38.19,885,51.19,190,52.95,101
19.68,280,22.7,257,32.7,157,38.2,728,51.2,230,52.96,97
19.69,196,22.71,316,32.71,152,38.21,521,51.21,263,52.97,90
19.7,150,22.72,379,32.72,150,38.22,379,51.22,253,52.98,109
19.71,155,22.73,410,32.73,141,38.23,309,51.23,285,52.99,100
19.72,162,22.74,403,32.74,138,38.24,251,51.24,287,53,97
19.73,171,22.75,355,32.75,129,38.25,246,51.25,297,53.01,100
19.74,163,22.76,278,32.76,142,38.26,219,51.26,255,53.02,92
19.75,172,22.77,215,32.77,128,38.27,178,51.27,228,53.03,88
19.76,224,22.78,194,32.78,144,38.28,189,51.28,197,53.04,95
19.77,259,22.79,150,32.79,124,38.29,170,51.29,174,53.05,84
19.78,285,22.8,146,32.8,123,38.3,162,51.3,135,53.06,104
19.79,233,22.81,142,32.81,123,38.31,194,51.31,139,53.07,92
19.8,164,22.82,141,32.82,140,38.32,194,51.32,154,53.08,98
19.81,126,22.83,170,32.83,134,38.33,226,51.33,149,53.09,103
19.82,103,22.84,192,32.84,131,38.34,240,51.34,147,53.1,89
19.83,112,22.85,201,32.85,119,38.35,279,51.35,110,53.11,84
19.84,110,22.86,234,32.86,128,38.36,319,51.36,116,53.12,105
19.85,100,22.87,250,32.87,109,38.37,407,51.37,106,53.13,98
19.86,103,22.88,238,32.88,115,38.38,498,51.38,115,53.14,90
19.87,112,22.89,210,32.89,131,38.39,562,51.39,113,53.15,96
19.88,89,22.9,155,32.9,135,38.4,599,51.4,114,53.16,93
19.89,81,22.91,154,32.91,123,38.41,620,51.41,108,53.17,99
19.9,92,22.92,127,32.92,127,38.42,605,51.42,114,53.18,97
19.91,100,22.93,103,32.93,122,38.43,501,51.43,124,53.19,122
19.92,95,22.94,109,32.94,111,38.44,392,51.44,121,53.2,109
19.93,87,22.95,114,32.95,134,38.45,322,51.45,120,53.21,102
19.94,90,22.96,84,32.96,139,38.46,232,51.46,105,53.22,93
19.95,105,22.97,95,32.97,127,38.47,211,51.47,104,53.23,90
19.96,102,22.98,91,32.98,136,38.48,176,51.48,119,53.24,101
19.97,92,22.99,105,32.99,133,38.49,134,51.49,102,53.25,108
19.98,94,23,93,33,113,38.5,144,51.5,110,53.26,92
19.99,96,23.01,94,33.01,120,38.51,127,51.51,115,53.27,102
20,85,23.02,96,33.02,121,38.52,130,51.52,107,53.28,92
20.01,76,23.03,99,33.03,107,38.53,115,51.53,119,53.29,93
20.02,73,23.04,91,33.04,105,38.54,95,51.54,100,53.3,91
20.03,91,23.05,101,33.05,113,38.55,116,51.55,76,53.31,97
20.04,78,23.06,90,33.06,124,38.56,110,51.56,104,53.32,91
20.05,88,23.07,92,33.07,121,38.57,113,51.57,96,53.33,90
20.06,88,23.08,96,33.08,91,38.58,96,51.58,126,53.34,77
20.07,82,23.09,94,33.09,99,38.59,90,51.59,119,53.35,90
20.08,88,23.1,86,33.1,112,38.6,105,51.6,114,53.36,106
20.09,80,23.11,108,33.11,103,38.61,109,51.61,125,53.37,102
20.1,84,23.12,103,33.12,112,38.62,108,51.62,111,53.38,99
20.11,73,23.13,99,33.13,117,38.63,95,51.63,103,53.39,89
20.12,98,23.14,105,33.14,124,38.64,97,51.64,110,53.4,97
20.13,86,23.15,109,33.15,126,38.65,98,51.65,112,53.41,94
20.14,89,23.16,90,33.16,121,38.66,92,51.66,123,53.42,92
20.15,79,23.17,113,33.17,118,38.67,108,51.67,106,53.43,91
20.16,81,23.18,103,33.18,120,38.68,110,51.68,95,53.44,82
20.17,69,23.19,85,33.19,120,38.69,100,51.69,98,53.45,94
20.18,94,23.2,89,33.2,137,38.7,88,51.7,108,53.46,103
20.19,91,23.21,89,33.21,140,38.71,92,51.71,87,53.47,108
20.2,71,23.22,96,33.22,136,38.72,112,51.72,91,53.48,92
20.21,96,23.23,76,33.23,129,38.73,131,51.73,102,53.49,89
20.22,81,23.24,76,33.24,121,38.74,111,51.74,115,53.5,85
20.23,85,23.25,88,33.25,125,38.75,111,51.75,110,,
